source,dialect,text,english_gloss,category,date_collected,dialect_guess
Local Markdown,egba,Irugbin,Planting,Agriculture and Farming,2025-08-09T13:31:06.133606,
Local Markdown,egba,Ikore,Harvesting,Agriculture and Farming,2025-08-09T13:31:06.133610,
Local Markdown,egba,Epò,Fertilizer,Agriculture and Farming,2025-08-09T13:31:06.133614,
Local Markdown,egba,Korikori,Weed,Agriculture and Farming,2025-08-09T13:31:06.133617,
Local Markdown,egba,Ẹfọ,Vegetables,Agriculture and Farming,2025-08-09T13:31:06.133620,
Local Markdown,egba,Eso,Fruit,Agriculture and Farming,2025-08-09T13:31:06.133624,
Local Markdown,egba,Ọka,Corn/maize,Agriculture and Farming,2025-08-09T13:31:06.133627,
Local Markdown,egba,Ewebe,Leaves/herbs,Agriculture and Farming,2025-08-09T13:31:06.133630,
Local Markdown,egba,Igi-eso,Fruit tree,Agriculture and Farming,2025-08-09T13:31:06.133633,
Local Markdown,egba,Bọọlu,Ball,Sports and Games,2025-08-09T13:31:06.133638,
Local Markdown,egba,Ere-idaraya,Sport,Sports and Games,2025-08-09T13:31:06.133641,
Local Markdown,egba,Sare,Race/running,Sports and Games,2025-08-09T13:31:06.133644,
Local Markdown,egba,Foriji,Wrestling,Sports and Games,2025-08-09T13:31:06.133648,
Local Markdown,egba,Gbigbe-ara,Exercise,Sports and Games,2025-08-09T13:31:06.133651,
Local Markdown,egba,Ere-ijo,Dancing game,Sports and Games,2025-08-09T13:31:06.133654,
Local Markdown,egba,Ayo,Traditional game,Sports and Games,2025-08-09T13:31:06.133657,
Local Markdown,egba,Jagun-jagun,War game,Sports and Games,2025-08-09T13:31:06.133660,
Local Markdown,egba,Ere-ọmọde,Children's game,Sports and Games,2025-08-09T13:31:06.133663,
Local Markdown,egba,Idije,Competition,Sports and Games,2025-08-09T13:31:06.133666,
Local Markdown,egba,Imọ-ẹrọ,Technology,Technology and Modern Life,2025-08-09T13:31:06.133670,
Local Markdown,egba,Kọmputa,Computer,Technology and Modern Life,2025-08-09T13:31:06.133673,
Local Markdown,egba,Foonu,Phone,Technology and Modern Life,2025-08-09T13:31:06.133677,
Local Markdown,egba,Redio,Radio,Technology and Modern Life,2025-08-09T13:31:06.133680,
Local Markdown,egba,Tẹlifišọn,Television,Technology and Modern Life,2025-08-09T13:31:06.133683,
Local Markdown,egba,Kamera,Camera,Technology and Modern Life,2025-08-09T13:31:06.133686,
Local Markdown,egba,Ina-mọnamọna,Electricity,Technology and Modern Life,2025-08-09T13:31:06.133690,
Local Markdown,egba,Nẹtiwọki,Network,Technology and Modern Life,2025-08-09T13:31:06.133693,
Local Markdown,egba,Intanẹti,Internet,Technology and Modern Life,2025-08-09T13:31:06.133697,
Local Markdown,egba,Ẹrọ-itupalẹ,Calculator,Technology and Modern Life,2025-08-09T13:31:06.133702,
Local Markdown,egba,Inudun,Happiness,Emotions and Psychology,2025-08-09T13:31:06.133705,
Local Markdown,egba,Ibanuje,Sadness,Emotions and Psychology,2025-08-09T13:31:06.133710,
Local Markdown,egba,Iberu,Fear,Emotions and Psychology,2025-08-09T13:31:06.133714,
Local Markdown,egba,Igberaga,Pride,Emotions and Psychology,2025-08-09T13:31:06.133717,
Local Markdown,egba,Irẹlẹ,Humility,Emotions and Psychology,2025-08-09T13:31:06.133722,
Local Markdown,egba,Itara,Excitement,Emotions and Psychology,2025-08-09T13:31:06.133733,
Local Markdown,egba,Ikorira,Hatred,Emotions and Psychology,2025-08-09T13:31:06.133744,
Local Markdown,egba,Ifẹ,Love,Emotions and Psychology,2025-08-09T13:31:06.133749,
Local Markdown,egba,Ibanujẹ,Sorrow,Emotions and Psychology,2025-08-09T13:31:06.133752,
Local Markdown,egba,Ayọ,Joy,Emotions and Psychology,2025-08-09T13:31:06.133755,
Local Markdown,egba,Agbada,Traditional robe,Cultural and Traditional Items,2025-08-09T13:31:06.133761,
Local Markdown,egba,Aso-oke,Traditional cloth,Cultural and Traditional Items,2025-08-09T13:31:06.133764,
Local Markdown,egba,Buba,Traditional blouse,Cultural and Traditional Items,2025-08-09T13:31:06.133767,
Local Markdown,egba,Gele,Head wrap,Cultural and Traditional Items,2025-08-09T13:31:06.133771,
Local Markdown,egba,Fila,Traditional cap,Cultural and Traditional Items,2025-08-09T13:31:06.133774,
Local Markdown,egba,Opa,Staff/walking stick,Cultural and Traditional Items,2025-08-09T13:31:06.133777,
Local Markdown,egba,Irukẹrẹ,Fly whisk,Cultural and Traditional Items,2025-08-09T13:31:06.133780,
Local Markdown,egba,Sango,Thunder god,Cultural and Traditional Items,2025-08-09T13:31:06.133783,
Local Markdown,egba,Ifa,Divination system,Cultural and Traditional Items,2025-08-09T13:31:06.133787,
Local Markdown,egba,Egungun,Masquerade,Cultural and Traditional Items,2025-08-09T13:31:06.133792,
Local Markdown,egba,Ikẹkọ,Learning process,Education and Learning (Extended),2025-08-09T13:31:06.133796,
Local Markdown,egba,Imọran,Advice/counseling,Education and Learning (Extended),2025-08-09T13:31:06.133799,
Local Markdown,egba,Itan,Story/history,Education and Learning (Extended),2025-08-09T13:31:06.133802,
Local Markdown,egba,Akiyesi,Attention,Education and Learning (Extended),2025-08-09T13:31:06.133805,
Local Markdown,egba,Oyẹ,Understanding,Education and Learning (Extended),2025-08-09T13:31:06.133809,
Local Markdown,egba,Gbagbe,Forget,Education and Learning (Extended),2025-08-09T13:31:06.133812,
Local Markdown,egba,Ranti,Remember,Education and Learning (Extended),2025-08-09T13:31:06.133815,
Local Markdown,egba,Kẹkọọ,Study,Education and Learning (Extended),2025-08-09T13:31:06.133818,
Local Markdown,egba,Dansaki,Homework,Education and Learning (Extended),2025-08-09T13:31:06.133821,
Local Markdown,egba,Idanwo,Examination,Education and Learning (Extended),2025-08-09T13:31:06.133824,
Local Markdown,egba,Owo-iṣowo,Capital,Business and Economics,2025-08-09T13:31:06.133828,
Local Markdown,egba,Ere,Profit,Business and Economics,2025-08-09T13:31:06.133831,
Local Markdown,egba,Padanu,Loss,Business and Economics,2025-08-09T13:31:06.133834,
Local Markdown,egba,Iyasọtọ,Investment,Business and Economics,2025-08-09T13:31:06.133837,
Local Markdown,egba,Gbese,Debt,Business and Economics,2025-08-09T13:31:06.133841,
Local Markdown,egba,Ẹbun,Gift/bonus,Business and Economics,2025-08-09T13:31:06.133844,
Local Markdown,egba,Ifowosowopo,Partnership,Business and Economics,2025-08-09T13:31:06.133847,
Local Markdown,egba,Ile-iṣẹ,Office/workplace,Business and Economics,2025-08-09T13:31:06.133852,
Local Markdown,egba,Aṣẹ,Authority/power,Business and Economics,2025-08-09T13:31:06.133857,
Local Markdown,egba,Ipinnu,Decision,Business and Economics,2025-08-09T13:31:06.133860,
Local Markdown,egba,Ofin,Law,Legal and Government,2025-08-09T13:31:06.133864,
Local Markdown,egba,Ẹjọ,Court case,Legal and Government,2025-08-09T13:31:06.133869,
Local Markdown,egba,Adajọ,Judge,Legal and Government,2025-08-09T13:31:06.133873,
Local Markdown,egba,Ẹlẹri,Witness,Legal and Government,2025-08-09T13:31:06.133876,
Local Markdown,egba,Ẹjọ,Lawsuit,Legal and Government,2025-08-09T13:31:06.133879,
Local Markdown,egba,Ijọba,Government,Legal and Government,2025-08-09T13:31:06.133882,
Local Markdown,egba,Aṣẹ,Authority,Legal and Government,2025-08-09T13:31:06.133886,
Local Markdown,egba,Ọba,King,Legal and Government,2025-08-09T13:31:06.133889,
Local Markdown,egba,Ilẹ,Land/country,Legal and Government,2025-08-09T13:31:06.133892,
Local Markdown,egba,Ominira,Freedom,Legal and Government,2025-08-09T13:31:06.133896,
Local Markdown,egba,Iṣẹ-ọna,Artwork,Arts and Crafts,2025-08-09T13:31:06.133902,
Local Markdown,egba,Aworan,Picture/image,Arts and Crafts,2025-08-09T13:31:06.133905,
Local Markdown,egba,Yiya,Carving,Arts and Crafts,2025-08-09T13:31:06.133908,
Local Markdown,egba,Hiho,Sculpture,Arts and Crafts,2025-08-09T13:31:06.133911,
Local Markdown,egba,Kikun,Weaving,Arts and Crafts,2025-08-09T13:31:06.133914,
Local Markdown,egba,Sisẹ,Crafting,Arts and Crafts,2025-08-09T13:31:06.133918,
Local Markdown,egba,Awọ,Color/dye,Arts and Crafts,2025-08-09T13:31:06.133921,
Local Markdown,egba,Ọṣọ,Decoration,Arts and Crafts,2025-08-09T13:31:06.133924,
Local Markdown,egba,Ẹwa,Beauty,Arts and Crafts,2025-08-09T13:31:06.133929,
Local Markdown,egba,Asa,Culture/tradition,Arts and Crafts,2025-08-09T13:31:06.133933,
Local Markdown,egba,Irin-ajo,Travel/journey,Travel and Tourism,2025-08-09T13:31:06.133936,
Local Markdown,egba,Ajo-aye,Tourism,Travel and Tourism,2025-08-09T13:31:06.133940,
Local Markdown,egba,Ile-itutu,Hotel,Travel and Tourism,2025-08-09T13:31:06.133943,
Local Markdown,egba,Alejo,Tourist/visitor,Travel and Tourism,2025-08-09T13:31:06.133946,
Local Markdown,egba,Ibi-itura,Resort,Travel and Tourism,2025-08-09T13:31:06.133950,
Local Markdown,egba,Oju-ọna,Scenery,Travel and Tourism,2025-08-09T13:31:06.133953,
Local Markdown,egba,Fọto,Photograph,Travel and Tourism,2025-08-09T13:31:06.133956,
Local Markdown,egba,Itọsọna,Guide,Travel and Tourism,2025-08-09T13:31:06.133959,
Local Markdown,egba,Iwadi,Exploration,Travel and Tourism,2025-08-09T13:31:06.133963,
Local Markdown,egba,Iṣiro-ajo,Travel planning,Travel and Tourism,2025-08-09T13:31:06.133969,
Local Markdown,egba,Iwọsan,Healing,Medicine and Healthcare (Extended),2025-08-09T13:31:06.133972,
Local Markdown,egba,Alagbabọ,Protector/guardian,Medicine and Healthcare (Extended),2025-08-09T13:31:06.133976,
Local Markdown,egba,Oogun,Traditional medicine,Medicine and Healthcare (Extended),2025-08-09T13:31:06.133979,
Local Markdown,egba,Iwadi-ara,Medical examination,Medicine and Healthcare (Extended),2025-08-09T13:31:06.133982,
Local Markdown,egba,Ṣiṣẹ-abẹ,Surgery,Medicine and Healthcare (Extended),2025-08-09T13:31:06.133985,
Local Markdown,egba,Egboogi,Herbs,Medicine and Healthcare (Extended),2025-08-09T13:31:06.133989,
Local Markdown,egba,Aisan-ara,Physical illness,Medicine and Healthcare (Extended),2025-08-09T13:31:06.133992,
Local Markdown,egba,Aisan-ọkan,Mental illness,Medicine and Healthcare (Extended),2025-08-09T13:31:06.133997,
Local Markdown,egba,Agbara-ara,Physical strength,Medicine and Healthcare (Extended),2025-08-09T13:31:06.134000,
Local Markdown,egba,Ilera-ọkan,Mental health,Medicine and Healthcare (Extended),2025-08-09T13:31:06.134004,
Local Markdown,egba,Ohun-ini-ayaba,Natural resources,Natural Resources and Environment,2025-08-09T13:31:06.134008,
Local Markdown,egba,Omi-mimọ,Clean water,Natural Resources and Environment,2025-08-09T13:31:06.134011,
Local Markdown,egba,Atẹgun,Fresh air,Natural Resources and Environment,2025-08-09T13:31:06.134014,
Local Markdown,egba,Ilẹ-ọlọrọ,Fertile soil,Natural Resources and Environment,2025-08-09T13:31:06.134018,
Local Markdown,egba,Epo-petrolia,Petroleum oil,Natural Resources and Environment,2025-08-09T13:31:06.134022,
Local Markdown,egba,Irin,Iron ore,Natural Resources and Environment,2025-08-09T13:31:06.134026,
Local Markdown,egba,Goolu,Gold,Natural Resources and Environment,2025-08-09T13:31:06.134029,
Local Markdown,egba,Fadaka,Silver,Natural Resources and Environment,2025-08-09T13:31:06.134032,
Local Markdown,egba,Okuta-iyebiye,Precious stones,Natural Resources and Environment,2025-08-09T13:31:06.134035,
Local Markdown,egba,Igi-ope,Palm tree,Natural Resources and Environment,2025-08-09T13:31:06.134039,
Local Markdown,egba,Ibarasọ,Communication,Communication and Language,2025-08-09T13:31:06.134042,
Local Markdown,egba,Ede,Language,Communication and Language,2025-08-09T13:31:06.134045,
Local Markdown,egba,Ikede,Announcement,Communication and Language,2025-08-09T13:31:06.134049,
Local Markdown,egba,Irohin,News/information,Communication and Language,2025-08-09T13:31:06.134058,
Local Markdown,egba,Leta,Letter,Communication and Language,2025-08-09T13:31:06.134062,
Local Markdown,egba,Ipọnju,Message,Communication and Language,2025-08-09T13:31:06.134068,
Local Markdown,egba,Sisọrọ,Conversation,Communication and Language,2025-08-09T13:31:06.134072,
Local Markdown,egba,Agbọrọsọ,Discussion,Communication and Language,2025-08-09T13:31:06.134077,
Local Markdown,egba,Igbanilaamu,Interview,Communication and Language,2025-08-09T13:31:06.134081,
Local Markdown,egba,Asọye,Explanation,Communication and Language,2025-08-09T13:31:06.134084,
Local Markdown,egba,Ikole,Building/construction,Construction and Architecture,2025-08-09T13:31:06.134089,
Local Markdown,egba,Ile-nla,Mansion,Construction and Architecture,2025-08-09T13:31:06.134092,
Local Markdown,egba,Adọn,Foundation,Construction and Architecture,2025-08-09T13:31:06.134095,
Local Markdown,egba,Ọpọn,Column/pillar,Construction and Architecture,2025-08-09T13:31:06.134099,
Local Markdown,egba,Gbolohun,Beam,Construction and Architecture,2025-08-09T13:31:06.134102,
Local Markdown,egba,Pẹpẹ,Floor/platform,Construction and Architecture,2025-08-09T13:31:06.134105,
Local Markdown,egba,Oniyangiri,Architect,Construction and Architecture,2025-08-09T13:31:06.134108,
Local Markdown,egba,Eto-ile,Building plan,Construction and Architecture,2025-08-09T13:31:06.134111,
Local Markdown,egba,Ọna-ile,Building method,Construction and Architecture,2025-08-09T13:31:06.134114,
Local Markdown,egba,Ohun-elo-ile,Building materials,Construction and Architecture,2025-08-09T13:31:06.134118,
Local Markdown,egba,Imọ-jinlẹ,Science,Science and Research,2025-08-09T13:31:06.134121,
Local Markdown,egba,Iwadi,Research,Science and Research,2025-08-09T13:31:06.134124,
Local Markdown,egba,Idanwo,Experiment,Science and Research,2025-08-09T13:31:06.134127,
Local Markdown,egba,Ẹrọ,Machine/equipment,Science and Research,2025-08-09T13:31:06.134131,
Local Markdown,egba,Awọn-kẹmika,Chemicals,Science and Research,2025-08-09T13:31:06.134134,
Local Markdown,egba,Imọ-ara,Biology,Science and Research,2025-08-09T13:31:06.134137,
Local Markdown,egba,Imọ-ile,Geography,Science and Research,2025-08-09T13:31:06.134145,
Local Markdown,egba,Imọ-irinṣẹ,Physics,Science and Research,2025-08-09T13:31:06.134150,
Local Markdown,egba,Imọ-isọ,Mathematics,Science and Research,2025-08-09T13:31:06.134153,
Local Markdown,egba,Ẹya-ara,Biology,Science and Research,2025-08-09T13:31:06.134163,
Local Markdown,egba,Ọmọ-ogun,Soldier,Military and Security,2025-08-09T13:31:06.134172,
Local Markdown,egba,Ogun,War/military,Military and Security,2025-08-09T13:31:06.134175,
Local Markdown,egba,Ohun-ija,Weapon,Military and Security,2025-08-09T13:31:06.134179,
Local Markdown,egba,Aabo,Security/safety,Military and Security,2025-08-09T13:31:06.134182,
Local Markdown,egba,Iledi,Fort/fortress,Military and Security,2025-08-09T13:31:06.134185,
Local Markdown,egba,Ẹgbẹ-aabo,Security force,Military and Security,2025-08-09T13:31:06.134188,
Local Markdown,egba,Isere,Training,Military and Security,2025-08-09T13:31:06.134192,
Local Markdown,egba,Asọ-ogun,Uniform,Military and Security,2025-08-09T13:31:06.134204,
Local Markdown,egba,Ija,Battle/fight,Military and Security,2025-08-09T13:31:06.134216,
Local Markdown,egba,Ijagun,Warfare,Military and Security,2025-08-09T13:31:06.134221,
Local Markdown,egba,Baba-nla,Grandfather,Extended Family Terms,2025-08-09T13:31:06.134225,
Local Markdown,egba,Iya-nla,Grandmother,Extended Family Terms,2025-08-09T13:31:06.134228,
Local Markdown,egba,Babatọba,Uncle (father's brother),Extended Family Terms,2025-08-09T13:31:06.134232,
Local Markdown,egba,Iyatọba,Aunt (father's sister),Extended Family Terms,2025-08-09T13:31:06.134239,
Local Markdown,egba,Arakunrin,Brother,Extended Family Terms,2025-08-09T13:31:06.134245,
Local Markdown,egba,Arabinrin,Sister,Extended Family Terms,2025-08-09T13:31:06.134248,
Local Markdown,egba,Ọmọ-arakunrin,Nephew,Extended Family Terms,2025-08-09T13:31:06.134253,
Local Markdown,egba,Ọmọ-arabinrin,Niece,Extended Family Terms,2025-08-09T13:31:06.134257,
Local Markdown,egba,Okọ-ọmọ,Son-in-law,Extended Family Terms,2025-08-09T13:31:06.134263,
Local Markdown,egba,Iyawo-ọmọ,Daughter-in-law,Extended Family Terms,2025-08-09T13:31:06.134268,
Local Markdown,egba,Dandogo,Traditional trousers,Extended Clothing Terms,2025-08-09T13:31:06.134271,
Local Markdown,egba,Kẹmbe,Wrapper/skirt,Extended Clothing Terms,2025-08-09T13:31:06.134275,
Local Markdown,egba,Agbada,Flowing robe,Extended Clothing Terms,2025-08-09T13:31:06.134278,
Local Markdown,egba,Iro,Wrapper,Extended Clothing Terms,2025-08-09T13:31:06.134281,
Local Markdown,egba,Ojongbodu,Traditional shoes,Extended Clothing Terms,2025-08-09T13:31:06.134284,
Local Markdown,egba,Oya,Shawl,Extended Clothing Terms,2025-08-09T13:31:06.134287,
Local Markdown,egba,Asọ-ọjọ-ọsẹ,Sunday best,Extended Clothing Terms,2025-08-09T13:31:06.134291,
Local Markdown,egba,Asọ-iwẹ,Work clothes,Extended Clothing Terms,2025-08-09T13:31:06.134294,
Local Markdown,egba,Asọ-sun,Nightwear,Extended Clothing Terms,2025-08-09T13:31:06.134297,
Local Markdown,egba,Asọ-odo,Children's clothes,Extended Clothing Terms,2025-08-09T13:31:06.134300,
Local Markdown,egba,Ọdanran,Corn mill,Agriculture and Food Processing,2025-08-09T13:31:06.134304,
Local Markdown,egba,Lilo-ọka,Corn processing,Agriculture and Food Processing,2025-08-09T13:31:06.134308,
Local Markdown,egba,Ṣiṣẹ-ewa,Bean processing,Agriculture and Food Processing,2025-08-09T13:31:06.134311,
Local Markdown,egba,Pọnpọn,Pounding,Agriculture and Food Processing,2025-08-09T13:31:06.134316,
Local Markdown,egba,Awọn-elo-oko,Farm tools,Agriculture and Food Processing,2025-08-09T13:31:06.134319,
Local Markdown,egba,Gbigbin,Farming/cultivation,Agriculture and Food Processing,2025-08-09T13:31:06.134324,
Local Markdown,egba,Koriko,Grass/hay,Agriculture and Food Processing,2025-08-09T13:31:06.134328,
Local Markdown,egba,Ẹranko-ọsin,Livestock,Agriculture and Food Processing,2025-08-09T13:31:06.134331,
Local Markdown,egba,Agbon-emu,Palm wine,Agriculture and Food Processing,2025-08-09T13:31:06.134334,
Local Markdown,egba,Lilo-iresi,Rice processing,Agriculture and Food Processing,2025-08-09T13:31:06.134337,
Local Markdown,egba,Mọkanla,Eleven,Extended Numbers and Counting,2025-08-09T13:31:06.134341,
Local Markdown,egba,Mejila,Twelve,Extended Numbers and Counting,2025-08-09T13:31:06.134344,
Local Markdown,egba,Mẹtala,Thirteen,Extended Numbers and Counting,2025-08-09T13:31:06.134347,
Local Markdown,egba,Mẹrinla,Fourteen,Extended Numbers and Counting,2025-08-09T13:31:06.134351,
Local Markdown,egba,Mẹẹdogun,Fifteen,Extended Numbers and Counting,2025-08-09T13:31:06.134354,
Local Markdown,egba,Mẹrindogun,Sixteen,Extended Numbers and Counting,2025-08-09T13:31:06.134357,
Local Markdown,egba,Mẹtadogun,Seventeen,Extended Numbers and Counting,2025-08-09T13:31:06.134360,
Local Markdown,egba,Mẹjidogun,Eighteen,Extended Numbers and Counting,2025-08-09T13:31:06.134365,
Local Markdown,egba,Mọkandogun,Nineteen,Extended Numbers and Counting,2025-08-09T13:31:06.134368,
Local Markdown,egba,Ogun,Twenty,Extended Numbers and Counting,2025-08-09T13:31:06.134371,
Local Markdown,egba,Idunnu,Pleasure,More Abstract Concepts,2025-08-09T13:31:06.134374,
Local Markdown,egba,Irira,Experience,More Abstract Concepts,2025-08-09T13:31:06.134378,
Local Markdown,egba,Igbagbe,Forgetfulness,More Abstract Concepts,2025-08-09T13:31:06.134381,
Local Markdown,egba,Iranti,Memory,More Abstract Concepts,2025-08-09T13:31:06.134384,
Local Markdown,egba,Imọlara,Feeling,More Abstract Concepts,2025-08-09T13:31:06.134390,
Local Markdown,egba,Iyemeji,Doubt,More Abstract Concepts,2025-08-09T13:31:06.134395,
Local Markdown,egba,Idaniloju,Assurance,More Abstract Concepts,2025-08-09T13:31:06.134399,
Local Markdown,egba,Ipinlẹ,State/condition,More Abstract Concepts,2025-08-09T13:31:06.134415,
Local Markdown,egba,Ipo,Position/status,More Abstract Concepts,2025-08-09T13:31:06.134420,
Local Markdown,egba,Aseyori,Success,More Abstract Concepts,2025-08-09T13:31:06.134423,
Local Markdown,egba,Iwọsọna,Prophet,Extended Religious Terms,2025-08-09T13:31:06.134426,
Local Markdown,egba,Iyaafin,Priestess,Extended Religious Terms,2025-08-09T13:31:06.134430,
Local Markdown,egba,Babalawo,Traditional priest,Extended Religious Terms,2025-08-09T13:31:06.134434,
Local Markdown,egba,Imọlẹ,Angel,Extended Religious Terms,2025-08-09T13:31:06.134437,
Local Markdown,egba,Ẹmi-buburu,Evil spirit,Extended Religious Terms,2025-08-09T13:31:06.134440,
Local Markdown,egba,Ijọ,Church/congregation,Extended Religious Terms,2025-08-09T13:31:06.134443,
Local Markdown,egba,Adua,Blessing,Extended Religious Terms,2025-08-09T13:31:06.134448,
Local Markdown,egba,Ẹgbẹ-ẹsin,Religious group,Extended Religious Terms,2025-08-09T13:31:06.134452,
Local Markdown,egba,Ọjọ-ẹbọ,Day of sacrifice,Extended Religious Terms,2025-08-09T13:31:06.134455,
Local Markdown,egba,Ohun-ẹbọ,Sacrifice/offering,Extended Religious Terms,2025-08-09T13:31:06.134459,
Local Markdown,egba,Omi-okun,Ocean water,Water and Marine Life,2025-08-09T13:31:06.134462,
Local Markdown,egba,Omi-odò,River water,Water and Marine Life,2025-08-09T13:31:06.134466,
Local Markdown,egba,Awọn-eja,Various fish,Water and Marine Life,2025-08-09T13:31:06.134470,
Local Markdown,egba,Yenpepe,Different types of fish,Water and Marine Life,2025-08-09T13:31:06.134473,
Local Markdown,egba,Eja-nla,Big fish,Water and Marine Life,2025-08-09T13:31:06.134479,
Local Markdown,egba,Ọkọ-omi,Boat,Water and Marine Life,2025-08-09T13:31:06.134482,
Local Markdown,egba,Awakọ-ọkọ-omi,Boat operator,Water and Marine Life,2025-08-09T13:31:06.134486,
Local Markdown,egba,Loje-omi,Swimming,Water and Marine Life,2025-08-09T13:31:06.134489,
Local Markdown,egba,Àpẹja,Fisherman,Water and Marine Life,2025-08-09T13:31:06.134492,
Local Markdown,egba,Ẹru-eja,Fish load,Water and Marine Life,2025-08-09T13:31:06.134497,
Local Markdown,egba,Okó,Hoe for farming,Tools and Equipment (Extended),2025-08-09T13:31:06.134501,
Local Markdown,egba,Ṣokusoku,Hoe,Tools and Equipment (Extended),2025-08-09T13:31:06.134505,
Local Markdown,egba,Agbon,Basket,Tools and Equipment (Extended),2025-08-09T13:31:06.134508,
Local Markdown,egba,Ẹhin-erin,Ivory,Tools and Equipment (Extended),2025-08-09T13:31:06.134523,
Local Markdown,egba,Fila-abẹti-aja,Different cap styles,Tools and Equipment (Extended),2025-08-09T13:31:06.134528,
Local Markdown,egba,Asọ-etu,Velvet cloth,Tools and Equipment (Extended),2025-08-09T13:31:06.134531,
Local Markdown,egba,Saworo,Bell,Tools and Equipment (Extended),2025-08-09T13:31:06.134535,
Local Markdown,egba,Ilu,Drum,Tools and Equipment (Extended),2025-08-09T13:31:06.134538,
Local Markdown,egba,Ẹlẹdẹ,Pig iron,Tools and Equipment (Extended),2025-08-09T13:31:06.134541,
Local Markdown,egba,Irin-nlọ,Large iron,Tools and Equipment (Extended),2025-08-09T13:31:06.134545,
Local Markdown,egba,Didin,Frying,Extended Cooking Terms,2025-08-09T13:31:06.134548,
Local Markdown,egba,Sisẹ,Boiling,Extended Cooking Terms,2025-08-09T13:31:06.134552,
Local Markdown,egba,Yiyan,Grilling,Extended Cooking Terms,2025-08-09T13:31:06.134555,
Local Markdown,egba,Sisun,Roasting,Extended Cooking Terms,2025-08-09T13:31:06.134558,
Local Markdown,egba,Ṣiṣẹ-ọbẹ,Soup making,Extended Cooking Terms,2025-08-09T13:31:06.134563,
Local Markdown,egba,Lilo-iyọ,Salt usage,Extended Cooking Terms,2025-08-09T13:31:06.134567,
Local Markdown,egba,Ṣiṣẹ-eko,Corn pap making,Extended Cooking Terms,2025-08-09T13:31:06.134570,
Local Markdown,egba,Dun-obe,Soup preparation,Extended Cooking Terms,2025-08-09T13:31:06.134574,
Local Markdown,egba,Fifọ,Washing (food),Extended Cooking Terms,2025-08-09T13:31:06.134577,
Local Markdown,egba,Gige,Cutting/chopping,Extended Cooking Terms,2025-08-09T13:31:06.134582,
Local Markdown,egba,Ji-òjò,Drizzle,Weather Phenomena (Extended),2025-08-09T13:31:06.134586,
Local Markdown,egba,Òjò-lile,Heavy rain,Weather Phenomena (Extended),2025-08-09T13:31:06.134589,
Local Markdown,egba,Afẹfẹ-kọlu,Windstorm,Weather Phenomena (Extended),2025-08-09T13:31:06.134592,
Local Markdown,egba,Òtútù-pupọ,Severe cold,Weather Phenomena (Extended),2025-08-09T13:31:06.134596,
Local Markdown,egba,Ọgbẹlẹ,Dryness,Weather Phenomena (Extended),2025-08-09T13:31:06.134599,
Local Markdown,egba,Omi-ọsan,Afternoon rain,Weather Phenomena (Extended),2025-08-09T13:31:06.134602,
Local Markdown,egba,Òjò-alẹ,Evening rain,Weather Phenomena (Extended),2025-08-09T13:31:06.134606,
Local Markdown,egba,Afẹfẹ-tutu,Cool breeze,Weather Phenomena (Extended),2025-08-09T13:31:06.134609,
Local Markdown,egba,Gbona-pupọ,Very hot,Weather Phenomena (Extended),2025-08-09T13:31:06.134613,
Local Markdown,egba,Yinyin-ṣinṣin,Very cold,Weather Phenomena (Extended),2025-08-09T13:31:06.134616,
Local Markdown,egba,Orin-igbehin,Praise song,Music and Dance (Extended),2025-08-09T13:31:06.134620,
Local Markdown,egba,Orin-ibanuje,Sad song,Music and Dance (Extended),2025-08-09T13:31:06.134623,
Local Markdown,egba,Ijo-agba,Adult dance,Music and Dance (Extended),2025-08-09T13:31:06.134628,
Local Markdown,egba,Ijo-ọmọde,Children's dance,Music and Dance (Extended),2025-08-09T13:31:06.134633,
Local Markdown,egba,Gangan,Talking drum type,Music and Dance (Extended),2025-08-09T13:31:06.134637,
Local Markdown,egba,Bata,Sacred drum,Music and Dance (Extended),2025-08-09T13:31:06.134640,
Local Markdown,egba,Sakara,Type of music,Music and Dance (Extended),2025-08-09T13:31:06.134643,
Local Markdown,egba,Juju,Popular music style,Music and Dance (Extended),2025-08-09T13:31:06.134646,
Local Markdown,egba,Fuji,Music genre,Music and Dance (Extended),2025-08-09T13:31:06.134649,
Local Markdown,egba,Apala,Traditional music,Music and Dance (Extended),2025-08-09T13:31:06.134652,
Local Markdown,egba,Oniṣẹ-ifowosowo,Banker,More Professional Terms,2025-08-09T13:31:06.134656,
Local Markdown,egba,Onimọ-isọ,Mathematician,More Professional Terms,2025-08-09T13:31:06.134659,
Local Markdown,egba,Onimọ-ẹrọ,Engineer,More Professional Terms,2025-08-09T13:31:06.134662,
Local Markdown,egba,Alakọwe,Accountant,More Professional Terms,2025-08-09T13:31:06.134666,
Local Markdown,egba,Oniṣẹ-aabo,Security guard,More Professional Terms,2025-08-09T13:31:06.134669,
Local Markdown,egba,Oniwa,Gardener,More Professional Terms,2025-08-09T13:31:06.134673,
Local Markdown,egba,Oniṣẹ-ile,Housekeeper,More Professional Terms,2025-08-09T13:31:06.134676,
Local Markdown,egba,Alakowe,Clerk,More Professional Terms,2025-08-09T13:31:06.134679,
Local Markdown,egba,Oniṣẹ-ijọba,Government worker,More Professional Terms,2025-08-09T13:31:06.134683,
Local Markdown,egba,Gbolohun-ẹrọ,Mechanic,More Professional Terms,2025-08-09T13:31:06.134686,
